3
PIR,TIN|Buah
BIKSU,ULAMA,PENDETA,PAUS|Pemuka agama
SENDOK,MANGKOK,PIRING,GARPU|Alat makan
KUDA,SAPI,KERBAU,KAMBING,DOMBA|Ternak
AKIK,KERIKIL,APUNG|Batu ...
KELINCI,MARMUT,KUCING,ANJING,HAMSTER|Peliharaan
BOMBER,KULIT,PARASUT|Jaket ...
PESAWAT,KERETA,MOBIL,MOTOR,SEPEDA,BECAK|Kendaraan
GERABAH,BATIK,SONGKET|Kerajinan
KALUNG,CINCIN,ANTING,GELANG,BERLIAN|Perhiasan
AKAR,BATANG,DAUN,RANTING,BUNGA,CABANG|... Pohons
BOX,FUSO,TRONTON|Truk ...
BANTAL,GULING,KASUR,SELIMUT,SEPRAI|Tempat tidur
AWAN,BURUNG,PESAWAT,LANGIT,TERBANG|Angkasa
MAJALAH,KORAN,BUKU,KOMIK,NOVEL|Dibaca
MELATI,MAWAR,TULIP,LILY,KAMBOJA,TERATAI|Nama bunga
JAKARTA,BANDUNG,BOGOR,MEDAN,MANADO,MALANG|Nama kota
TSUNAMI,BANJIR,GEMPA,LONGSOR,TORNADO|Bencana
BERKUDA,PANAHAN,CATUR,TINJU,GULAT|Pertandingan
HVS,FOLIO,KARTON,MANILA,ORIGAMI,LINEN|Kertas ...
JAGUNG,KACANG,KEDELAI,ALMOND|Biji-bijian
KERUPUK,KERIPIK,KUE,BISKUIT,PERMEN,|Cemilan
TENDA,HUTAN,REGU,YELYEL,MORSE|Pramuka
ASIA,AMERIKA,AFRIKA,EROPA|Benua
SATUAN,BELASAN,RATUSAN,PULUHAN,RIBUAN|Nilai tempat
PINTU,DINDING,JENDELA,KAMAR|Bagian Rumah
CERAH,HUJAN,MENDUNG|Cuaca
SEMEN,BATA,KERAMIK,GENTENG|Bahan bangunan
EMAS,PERAK,TEMBAGA,BESI|Logam
LEBARAN,NATAL,IMLEK,WAISAK,PASKAH|Hari raya
JAKET,SWEATER,SYAL|Penghangat badan
JANTUNG,GINJAL,LAMBUNG,HATI|Organ tubuh
HIDUNG,MATA,LIDAH,KULIT,TELINGA|Pnnca indera
NORMAL,SIAGA,WASPADA,AWAS|Status bahaya

8
LULUS,HEBAT,BERHASIL|Nilai 100
SELOTIP,LEM,PERANGKO,LAKBAN|Menempel
KENTANG,WORTEL,LOBAK,BAWANG,TALAS|Umbi-umbian
ALADIN,FROZEN,MOANA,UPINIPIN,AVATAR|Acara kartun
JAWA,BALI,PAPUA,SULAWESI,LOMBOK,SUMBA,SUMATRA|Nama Pulau
JOKOWI,OBAMA,ERDOGAN,JOEBIDEN|Presiden di dunia
RENDANG,KETOPRAK,PAPEDA,PECEL|Makanan khas
BURGER,KEBAB,HOTDOG,MARTABAK|Cepat saji
MASINIS,PILOT,GURU,DOKTER,INSINYUR,NELAYAN,PETANI|Profesi
SEGITIGA,KOTAK,KUBUS,BALOK,KERUCUT,TABUNG|Bentuk
BULAN,KOMET,MATAHARI,PLANET|Tata surya
FACEBOOK,TWITTER,TELEGRAM,WHATSAPP|Media sosial
VENUS,BUMI,NEPTUNUS,MARS,URANUS|Planet
JEMBATAN,STASIUN,JALAN,TOILET,STADION|Fasilitas umum
CAPUNG,BELALANG,KUPUKUPU,JANGKRIK|Serangga
LENGKUAS,KUNYIT,JAHE,LADA,MERICA,KETUMBAR|Rempah-rempah
RINJANI,KRAKATAU,BROMO,MERAPI,SEMERU,TAMBORA|Nama gunung
TAHU,TEMPE,ABON,SAMBAL,PERKEDEL,DAGING|Lauk
DOKTER,PASIEN,PERAWAT,UGD,OBAT|Rumah Sakit
KERANG,PASIR,MUTIARA,KARANG,KAPAL|Laut
KEPITING,UBURUBUR,PENYU,LOBSTER,GURITA|Hewan laut
PASIFIK,HINDIA,ARKTIK,ATLANTIK|Samudra
EIFFLE,MONAS,BIGBANG,PETRONAS|Menara ...
MEMBACA,MENULIS,MELUKIS,BERENANG|Hoby
TAJMAHAL,MACUPICU,PISA,PETRA|Keajaiban dunia
AL-QUR'AN,TAURAT,INJIL,ZABUR|Kitab suci
ROMANTIS,KOMEDI,HOROR,FANTASI,FIKSI|Genre film
SAMSUNG,IPHONE,VIVO,OPPO,NOKIA|Merk smartphone
GENDANG,ANGKLUNG,TIFA,SASANDO,GAMELAN|Alat musik tradisional
KARTINI,BURUH,TRITURA,GURU,SANTRI|Hari nasional


